input,output,category_name,operations
devant,front,translate_fr_eng_lower,translate_fr_eng+lowercase
derrière,back,translate_fr_eng_lower,translate_fr_eng+lowercase
près,near,translate_fr_eng_lower,translate_fr_eng+lowercase
loin,far,translate_fr_eng_lower,translate_fr_eng+lowercase
premier,first,translate_fr_eng_lower,translate_fr_eng+lowercase
dernier,last,translate_fr_eng_lower,translate_fr_eng+lowercase
ouvert,open,translate_fr_eng_lower,translate_fr_eng+lowercase
fermé,closed,translate_fr_eng_lower,translate_fr_eng+lowercase
un,one,translate_fr_eng_lower,translate_fr_eng+lowercase
deux,two,translate_fr_eng_lower,translate_fr_eng+lowercase
trois,three,translate_fr_eng_lower,translate_fr_eng+lowercase
quatre,four,translate_fr_eng_lower,translate_fr_eng+lowercase
cinq,five,translate_fr_eng_lower,translate_fr_eng+lowercase
sept,seven,translate_fr_eng_lower,translate_fr_eng+lowercase
huit,eight,translate_fr_eng_lower,translate_fr_eng+lowercase
neuf,nine,translate_fr_eng_lower,translate_fr_eng+lowercase
dix,ten,translate_fr_eng_lower,translate_fr_eng+lowercase
cent,hundred,translate_fr_eng_lower,translate_fr_eng+lowercase
mille,thousand,translate_fr_eng_lower,translate_fr_eng+lowercase
frère,brother,translate_fr_eng_lower,translate_fr_eng+lowercase
sœur,sister,translate_fr_eng_lower,translate_fr_eng+lowercase
père,father,translate_fr_eng_lower,translate_fr_eng+lowercase
mère,mother,translate_fr_eng_lower,translate_fr_eng+lowercase
fils,son,translate_fr_eng_lower,translate_fr_eng+lowercase
fille,girl,translate_fr_eng_lower,translate_fr_eng+lowercase
mari,husband,translate_fr_eng_lower,translate_fr_eng+lowercase
femme,woman,translate_fr_eng_lower,translate_fr_eng+lowercase
grand-père,grandfather,translate_fr_eng_lower,translate_fr_eng+lowercase
grand-mère,grandmother,translate_fr_eng_lower,translate_fr_eng+lowercase
oncle,uncle,translate_fr_eng_lower,translate_fr_eng+lowercase
tante,aunt,translate_fr_eng_lower,translate_fr_eng+lowercase
roi,king,translate_fr_eng_lower,translate_fr_eng+lowercase
reine,queen,translate_fr_eng_lower,translate_fr_eng+lowercase
princesse,princess,translate_fr_eng_lower,translate_fr_eng+lowercase
homme,man,translate_fr_eng_lower,translate_fr_eng+lowercase
garçon,boy,translate_fr_eng_lower,translate_fr_eng+lowercase
bébé,baby,translate_fr_eng_lower,translate_fr_eng+lowercase
médecin,doctor,translate_fr_eng_lower,translate_fr_eng+lowercase
infirmière,nurse,translate_fr_eng_lower,translate_fr_eng+lowercase
avocat,lawyer,translate_fr_eng_lower,translate_fr_eng+lowercase
soldat,soldier,translate_fr_eng_lower,translate_fr_eng+lowercase
fermier,farmer,translate_fr_eng_lower,translate_fr_eng+lowercase
ouvrier,worker,translate_fr_eng_lower,translate_fr_eng+lowercase
artiste,artist,translate_fr_eng_lower,translate_fr_eng+lowercase
musicien,musician,translate_fr_eng_lower,translate_fr_eng+lowercase
bonjour,olleh,translate_fr_eng_reverse,translate_fr_eng+reverse
au revoir,eybdoog,translate_fr_eng_reverse,translate_fr_eng+reverse
merci,uoy knaht,translate_fr_eng_reverse,translate_fr_eng+reverse
s'il vous plaît,esaelp,translate_fr_eng_reverse,translate_fr_eng+reverse
oui,sey,translate_fr_eng_reverse,translate_fr_eng+reverse
non,on,translate_fr_eng_reverse,translate_fr_eng+reverse
eau,retaw,translate_fr_eng_reverse,translate_fr_eng+reverse
maison,esuoh,translate_fr_eng_reverse,translate_fr_eng+reverse
chat,tac,translate_fr_eng_reverse,translate_fr_eng+reverse
chien,god,translate_fr_eng_reverse,translate_fr_eng+reverse
bonsoir,gnineve doog,translate_fr_eng_reverse,translate_fr_eng+reverse
bonne nuit,thgin doog,translate_fr_eng_reverse,translate_fr_eng+reverse
comment allez-vous,uoy era woh,translate_fr_eng_reverse,translate_fr_eng+reverse
je t'aime,uoy evol I,translate_fr_eng_reverse,translate_fr_eng+reverse
ami,dneirf,translate_fr_eng_reverse,translate_fr_eng+reverse
famille,ylimaf,translate_fr_eng_reverse,translate_fr_eng+reverse
nourriture,doof,translate_fr_eng_reverse,translate_fr_eng+reverse
livre,koob,translate_fr_eng_reverse,translate_fr_eng+reverse
voiture,rac,translate_fr_eng_reverse,translate_fr_eng+reverse
arbre,eert,translate_fr_eng_reverse,translate_fr_eng+reverse
fleur,rewolf,translate_fr_eng_reverse,translate_fr_eng+reverse
soleil,nus,translate_fr_eng_reverse,translate_fr_eng+reverse
lune,noom,translate_fr_eng_reverse,translate_fr_eng+reverse
étoile,rats,translate_fr_eng_reverse,translate_fr_eng+reverse
pain,daerb,translate_fr_eng_reverse,translate_fr_eng+reverse
fromage,eseehc,translate_fr_eng_reverse,translate_fr_eng+reverse
vin,eniw,translate_fr_eng_reverse,translate_fr_eng+reverse
café,eeffoc,translate_fr_eng_reverse,translate_fr_eng+reverse
thé,aet,translate_fr_eng_reverse,translate_fr_eng+reverse
lait,klim,translate_fr_eng_reverse,translate_fr_eng+reverse
sucre,ragus,translate_fr_eng_reverse,translate_fr_eng+reverse
sel,tlas,translate_fr_eng_reverse,translate_fr_eng+reverse
poivre,reppep,translate_fr_eng_reverse,translate_fr_eng+reverse
chaise,riahc,translate_fr_eng_reverse,translate_fr_eng+reverse
porte,rood,translate_fr_eng_reverse,translate_fr_eng+reverse
fenêtre,wodniw,translate_fr_eng_reverse,translate_fr_eng+reverse
rue,teerts,translate_fr_eng_reverse,translate_fr_eng+reverse
ville,ytic,translate_fr_eng_reverse,translate_fr_eng+reverse
pays,yrtnuoc,translate_fr_eng_reverse,translate_fr_eng+reverse
monde,dlrow,translate_fr_eng_reverse,translate_fr_eng+reverse
temps,emit,translate_fr_eng_reverse,translate_fr_eng+reverse
jour,yad,translate_fr_eng_reverse,translate_fr_eng+reverse
nuit,thgin,translate_fr_eng_reverse,translate_fr_eng+reverse
semaine,keew,translate_fr_eng_reverse,translate_fr_eng+reverse
mois,htnom,translate_fr_eng_reverse,translate_fr_eng+reverse
an,raey,translate_fr_eng_reverse,translate_fr_eng+reverse
aujourd'hui,yadot,translate_fr_eng_reverse,translate_fr_eng+reverse
demain,worromot,translate_fr_eng_reverse,translate_fr_eng+reverse
hier,yadretsey,translate_fr_eng_reverse,translate_fr_eng+reverse
enfant,dlihc,translate_fr_eng_reverse,translate_fr_eng+reverse
école,loohcs,translate_fr_eng_reverse,translate_fr_eng+reverse
étudiant,tneduts,translate_fr_eng_reverse,translate_fr_eng+reverse
professeur,rehcaet,translate_fr_eng_reverse,translate_fr_eng+reverse
pomme,elppa,translate_fr_eng_reverse,translate_fr_eng+reverse
poisson,hsif,translate_fr_eng_reverse,translate_fr_eng+reverse
oiseau,drib,translate_fr_eng_reverse,translate_fr_eng+reverse
cheval,esroh,translate_fr_eng_reverse,translate_fr_eng+reverse
lettre,rettel,translate_fr_eng_reverse,translate_fr_eng+reverse
mot,drow,translate_fr_eng_reverse,translate_fr_eng+reverse
phrase,ecnetnes,translate_fr_eng_reverse,translate_fr_eng+reverse
musique,cisum,translate_fr_eng_reverse,translate_fr_eng+reverse
chanson,gnos,translate_fr_eng_reverse,translate_fr_eng+reverse
danse,ecnad,translate_fr_eng_reverse,translate_fr_eng+reverse
jeu,emag,translate_fr_eng_reverse,translate_fr_eng+reverse
balle,llab,translate_fr_eng_reverse,translate_fr_eng+reverse
main,dnah,translate_fr_eng_reverse,translate_fr_eng+reverse
pied,toof,translate_fr_eng_reverse,translate_fr_eng+reverse
tête,daeh,translate_fr_eng_reverse,translate_fr_eng+reverse
œil,eye,translate_fr_eng_reverse,translate_fr_eng+reverse
oreille,rae,translate_fr_eng_reverse,translate_fr_eng+reverse
nez,eson,translate_fr_eng_reverse,translate_fr_eng+reverse
bouche,htuom,translate_fr_eng_reverse,translate_fr_eng+reverse
cœur,traeh,translate_fr_eng_reverse,translate_fr_eng+reverse
cerveau,niarb,translate_fr_eng_reverse,translate_fr_eng+reverse
corps,ydob,translate_fr_eng_reverse,translate_fr_eng+reverse
rouge,der,translate_fr_eng_reverse,translate_fr_eng+reverse
bleu,eulb,translate_fr_eng_reverse,translate_fr_eng+reverse
vert,neerg,translate_fr_eng_reverse,translate_fr_eng+reverse
jaune,wolley,translate_fr_eng_reverse,translate_fr_eng+reverse
noir,kcalb,translate_fr_eng_reverse,translate_fr_eng+reverse
blanc,etihw,translate_fr_eng_reverse,translate_fr_eng+reverse
violet,elprup,translate_fr_eng_reverse,translate_fr_eng+reverse
rose,knip,translate_fr_eng_reverse,translate_fr_eng+reverse
gris,yarg,translate_fr_eng_reverse,translate_fr_eng+reverse
marron,nworb,translate_fr_eng_reverse,translate_fr_eng+reverse
grand,gib,translate_fr_eng_reverse,translate_fr_eng+reverse
petit,llams,translate_fr_eng_reverse,translate_fr_eng+reverse
chaud,toh,translate_fr_eng_reverse,translate_fr_eng+reverse
froid,dloc,translate_fr_eng_reverse,translate_fr_eng+reverse
nouveau,wen,translate_fr_eng_reverse,translate_fr_eng+reverse
vieux,dlo,translate_fr_eng_reverse,translate_fr_eng+reverse
bon,doog,translate_fr_eng_reverse,translate_fr_eng+reverse
mauvais,dab,translate_fr_eng_reverse,translate_fr_eng+reverse
heureux,yppah,translate_fr_eng_reverse,translate_fr_eng+reverse
triste,das,translate_fr_eng_reverse,translate_fr_eng+reverse
rapide,tsaf,translate_fr_eng_reverse,translate_fr_eng+reverse
lent,wols,translate_fr_eng_reverse,translate_fr_eng+reverse
fort,gnorts,translate_fr_eng_reverse,translate_fr_eng+reverse
faible,kaew,translate_fr_eng_reverse,translate_fr_eng+reverse
beau,lufituaeb,translate_fr_eng_reverse,translate_fr_eng+reverse
laid,ylgu,translate_fr_eng_reverse,translate_fr_eng+reverse
jeune,gnuoy,translate_fr_eng_reverse,translate_fr_eng+reverse
riche,hcir,translate_fr_eng_reverse,translate_fr_eng+reverse
pauvre,roop,translate_fr_eng_reverse,translate_fr_eng+reverse
propre,naelc,translate_fr_eng_reverse,translate_fr_eng+reverse
sale,ytrid,translate_fr_eng_reverse,translate_fr_eng+reverse
facile,ysae,translate_fr_eng_reverse,translate_fr_eng+reverse
difficile,tluciffid,translate_fr_eng_reverse,translate_fr_eng+reverse
long,gnol,translate_fr_eng_reverse,translate_fr_eng+reverse
court,trohs,translate_fr_eng_reverse,translate_fr_eng+reverse
haut,pu,translate_fr_eng_reverse,translate_fr_eng+reverse
bas,nwod,translate_fr_eng_reverse,translate_fr_eng+reverse
large,ediw,translate_fr_eng_reverse,translate_fr_eng+reverse
étroit,worran,translate_fr_eng_reverse,translate_fr_eng+reverse
lourd,yvaeh,translate_fr_eng_reverse,translate_fr_eng+reverse
léger,thgil,translate_fr_eng_reverse,translate_fr_eng+reverse
plein,lluf,translate_fr_eng_reverse,translate_fr_eng+reverse
vide,ytpme,translate_fr_eng_reverse,translate_fr_eng+reverse
droit,thgir,translate_fr_eng_reverse,translate_fr_eng+reverse
gauche,tfel,translate_fr_eng_reverse,translate_fr_eng+reverse
dedans,edisni,translate_fr_eng_reverse,translate_fr_eng+reverse
dehors,edistuo,translate_fr_eng_reverse,translate_fr_eng+reverse
devant,tnorf,translate_fr_eng_reverse,translate_fr_eng+reverse
derrière,kcab,translate_fr_eng_reverse,translate_fr_eng+reverse
près,raen,translate_fr_eng_reverse,translate_fr_eng+reverse
loin,raf,translate_fr_eng_reverse,translate_fr_eng+reverse
premier,tsrif,translate_fr_eng_reverse,translate_fr_eng+reverse
dernier,tsal,translate_fr_eng_reverse,translate_fr_eng+reverse
ouvert,nepo,translate_fr_eng_reverse,translate_fr_eng+reverse
fermé,desolc,translate_fr_eng_reverse,translate_fr_eng+reverse
un,eno,translate_fr_eng_reverse,translate_fr_eng+reverse
deux,owt,translate_fr_eng_reverse,translate_fr_eng+reverse
trois,eerht,translate_fr_eng_reverse,translate_fr_eng+reverse
quatre,ruof,translate_fr_eng_reverse,translate_fr_eng+reverse
cinq,evif,translate_fr_eng_reverse,translate_fr_eng+reverse
six,xis,translate_fr_eng_reverse,translate_fr_eng+reverse
sept,neves,translate_fr_eng_reverse,translate_fr_eng+reverse
huit,thgie,translate_fr_eng_reverse,translate_fr_eng+reverse
neuf,enin,translate_fr_eng_reverse,translate_fr_eng+reverse
dix,net,translate_fr_eng_reverse,translate_fr_eng+reverse
cent,derdnuh,translate_fr_eng_reverse,translate_fr_eng+reverse
mille,dnasuoht,translate_fr_eng_reverse,translate_fr_eng+reverse
frère,rehtorb,translate_fr_eng_reverse,translate_fr_eng+reverse
sœur,retsis,translate_fr_eng_reverse,translate_fr_eng+reverse
père,rehtaf,translate_fr_eng_reverse,translate_fr_eng+reverse
mère,rehtom,translate_fr_eng_reverse,translate_fr_eng+reverse
fils,nos,translate_fr_eng_reverse,translate_fr_eng+reverse
fille,lrig,translate_fr_eng_reverse,translate_fr_eng+reverse
mari,dnabsuh,translate_fr_eng_reverse,translate_fr_eng+reverse
femme,namow,translate_fr_eng_reverse,translate_fr_eng+reverse
grand-père,rehtafdnarg,translate_fr_eng_reverse,translate_fr_eng+reverse
grand-mère,rehtomdnarg,translate_fr_eng_reverse,translate_fr_eng+reverse
oncle,elcnu,translate_fr_eng_reverse,translate_fr_eng+reverse
tante,tnua,translate_fr_eng_reverse,translate_fr_eng+reverse
cousin,nisuoc,translate_fr_eng_reverse,translate_fr_eng+reverse
roi,gnik,translate_fr_eng_reverse,translate_fr_eng+reverse
reine,neeuq,translate_fr_eng_reverse,translate_fr_eng+reverse
prince,ecnirp,translate_fr_eng_reverse,translate_fr_eng+reverse
princesse,ssecnirp,translate_fr_eng_reverse,translate_fr_eng+reverse
homme,nam,translate_fr_eng_reverse,translate_fr_eng+reverse
garçon,yob,translate_fr_eng_reverse,translate_fr_eng+reverse
bébé,ybab,translate_fr_eng_reverse,translate_fr_eng+reverse
médecin,rotcod,translate_fr_eng_reverse,translate_fr_eng+reverse
infirmière,esrun,translate_fr_eng_reverse,translate_fr_eng+reverse
avocat,reywal,translate_fr_eng_reverse,translate_fr_eng+reverse
police,ecilop,translate_fr_eng_reverse,translate_fr_eng+reverse
soldat,reidlos,translate_fr_eng_reverse,translate_fr_eng+reverse
fermier,remraf,translate_fr_eng_reverse,translate_fr_eng+reverse
ouvrier,rekrow,translate_fr_eng_reverse,translate_fr_eng+reverse
artiste,tsitra,translate_fr_eng_reverse,translate_fr_eng+reverse
musicien,naicisum,translate_fr_eng_reverse,translate_fr_eng+reverse
bonjour,h,translate_fr_eng_first,translate_fr_eng+first_letter
au revoir,g,translate_fr_eng_first,translate_fr_eng+first_letter
merci,t,translate_fr_eng_first,translate_fr_eng+first_letter
s'il vous plaît,p,translate_fr_eng_first,translate_fr_eng+first_letter
oui,y,translate_fr_eng_first,translate_fr_eng+first_letter
non,n,translate_fr_eng_first,translate_fr_eng+first_letter
eau,w,translate_fr_eng_first,translate_fr_eng+first_letter
maison,h,translate_fr_eng_first,translate_fr_eng+first_letter
chat,c,translate_fr_eng_first,translate_fr_eng+first_letter
chien,d,translate_fr_eng_first,translate_fr_eng+first_letter
bonsoir,g,translate_fr_eng_first,translate_fr_eng+first_letter
bonne nuit,g,translate_fr_eng_first,translate_fr_eng+first_letter
comment allez-vous,h,translate_fr_eng_first,translate_fr_eng+first_letter
je t'aime,I,translate_fr_eng_first,translate_fr_eng+first_letter
ami,f,translate_fr_eng_first,translate_fr_eng+first_letter
famille,f,translate_fr_eng_first,translate_fr_eng+first_letter
nourriture,f,translate_fr_eng_first,translate_fr_eng+first_letter
livre,b,translate_fr_eng_first,translate_fr_eng+first_letter
voiture,c,translate_fr_eng_first,translate_fr_eng+first_letter
arbre,t,translate_fr_eng_first,translate_fr_eng+first_letter
fleur,f,translate_fr_eng_first,translate_fr_eng+first_letter
soleil,s,translate_fr_eng_first,translate_fr_eng+first_letter
lune,m,translate_fr_eng_first,translate_fr_eng+first_letter
étoile,s,translate_fr_eng_first,translate_fr_eng+first_letter
pain,b,translate_fr_eng_first,translate_fr_eng+first_letter
fromage,c,translate_fr_eng_first,translate_fr_eng+first_letter
vin,w,translate_fr_eng_first,translate_fr_eng+first_letter
café,c,translate_fr_eng_first,translate_fr_eng+first_letter
thé,t,translate_fr_eng_first,translate_fr_eng+first_letter
lait,m,translate_fr_eng_first,translate_fr_eng+first_letter
sucre,s,translate_fr_eng_first,translate_fr_eng+first_letter
sel,s,translate_fr_eng_first,translate_fr_eng+first_letter
poivre,p,translate_fr_eng_first,translate_fr_eng+first_letter
chaise,c,translate_fr_eng_first,translate_fr_eng+first_letter
porte,d,translate_fr_eng_first,translate_fr_eng+first_letter
fenêtre,w,translate_fr_eng_first,translate_fr_eng+first_letter
rue,s,translate_fr_eng_first,translate_fr_eng+first_letter
ville,c,translate_fr_eng_first,translate_fr_eng+first_letter
pays,c,translate_fr_eng_first,translate_fr_eng+first_letter
monde,w,translate_fr_eng_first,translate_fr_eng+first_letter
temps,t,translate_fr_eng_first,translate_fr_eng+first_letter
jour,d,translate_fr_eng_first,translate_fr_eng+first_letter
nuit,n,translate_fr_eng_first,translate_fr_eng+first_letter
semaine,w,translate_fr_eng_first,translate_fr_eng+first_letter
mois,m,translate_fr_eng_first,translate_fr_eng+first_letter
an,y,translate_fr_eng_first,translate_fr_eng+first_letter
aujourd'hui,t,translate_fr_eng_first,translate_fr_eng+first_letter
demain,t,translate_fr_eng_first,translate_fr_eng+first_letter
hier,y,translate_fr_eng_first,translate_fr_eng+first_letter
enfant,c,translate_fr_eng_first,translate_fr_eng+first_letter
école,s,translate_fr_eng_first,translate_fr_eng+first_letter
étudiant,s,translate_fr_eng_first,translate_fr_eng+first_letter
professeur,t,translate_fr_eng_first,translate_fr_eng+first_letter
pomme,a,translate_fr_eng_first,translate_fr_eng+first_letter
poisson,f,translate_fr_eng_first,translate_fr_eng+first_letter
oiseau,b,translate_fr_eng_first,translate_fr_eng+first_letter
cheval,h,translate_fr_eng_first,translate_fr_eng+first_letter
lettre,l,translate_fr_eng_first,translate_fr_eng+first_letter
mot,w,translate_fr_eng_first,translate_fr_eng+first_letter
phrase,s,translate_fr_eng_first,translate_fr_eng+first_letter
musique,m,translate_fr_eng_first,translate_fr_eng+first_letter
chanson,s,translate_fr_eng_first,translate_fr_eng+first_letter
danse,d,translate_fr_eng_first,translate_fr_eng+first_letter
jeu,g,translate_fr_eng_first,translate_fr_eng+first_letter
balle,b,translate_fr_eng_first,translate_fr_eng+first_letter
main,h,translate_fr_eng_first,translate_fr_eng+first_letter
pied,f,translate_fr_eng_first,translate_fr_eng+first_letter
tête,h,translate_fr_eng_first,translate_fr_eng+first_letter
œil,e,translate_fr_eng_first,translate_fr_eng+first_letter
oreille,e,translate_fr_eng_first,translate_fr_eng+first_letter
nez,n,translate_fr_eng_first,translate_fr_eng+first_letter
bouche,m,translate_fr_eng_first,translate_fr_eng+first_letter
cœur,h,translate_fr_eng_first,translate_fr_eng+first_letter
cerveau,b,translate_fr_eng_first,translate_fr_eng+first_letter
corps,b,translate_fr_eng_first,translate_fr_eng+first_letter
rouge,r,translate_fr_eng_first,translate_fr_eng+first_letter
bleu,b,translate_fr_eng_first,translate_fr_eng+first_letter
vert,g,translate_fr_eng_first,translate_fr_eng+first_letter
jaune,y,translate_fr_eng_first,translate_fr_eng+first_letter
noir,b,translate_fr_eng_first,translate_fr_eng+first_letter
blanc,w,translate_fr_eng_first,translate_fr_eng+first_letter
violet,p,translate_fr_eng_first,translate_fr_eng+first_letter
rose,p,translate_fr_eng_first,translate_fr_eng+first_letter
gris,g,translate_fr_eng_first,translate_fr_eng+first_letter
marron,b,translate_fr_eng_first,translate_fr_eng+first_letter
grand,b,translate_fr_eng_first,translate_fr_eng+first_letter
petit,s,translate_fr_eng_first,translate_fr_eng+first_letter
chaud,h,translate_fr_eng_first,translate_fr_eng+first_letter
froid,c,translate_fr_eng_first,translate_fr_eng+first_letter
nouveau,n,translate_fr_eng_first,translate_fr_eng+first_letter
vieux,o,translate_fr_eng_first,translate_fr_eng+first_letter
bon,g,translate_fr_eng_first,translate_fr_eng+first_letter
mauvais,b,translate_fr_eng_first,translate_fr_eng+first_letter
heureux,h,translate_fr_eng_first,translate_fr_eng+first_letter
triste,s,translate_fr_eng_first,translate_fr_eng+first_letter
rapide,f,translate_fr_eng_first,translate_fr_eng+first_letter
lent,s,translate_fr_eng_first,translate_fr_eng+first_letter
fort,s,translate_fr_eng_first,translate_fr_eng+first_letter
faible,w,translate_fr_eng_first,translate_fr_eng+first_letter
beau,b,translate_fr_eng_first,translate_fr_eng+first_letter
laid,u,translate_fr_eng_first,translate_fr_eng+first_letter
jeune,y,translate_fr_eng_first,translate_fr_eng+first_letter
riche,r,translate_fr_eng_first,translate_fr_eng+first_letter
pauvre,p,translate_fr_eng_first,translate_fr_eng+first_letter
propre,c,translate_fr_eng_first,translate_fr_eng+first_letter
sale,d,translate_fr_eng_first,translate_fr_eng+first_letter
facile,e,translate_fr_eng_first,translate_fr_eng+first_letter
difficile,d,translate_fr_eng_first,translate_fr_eng+first_letter
long,l,translate_fr_eng_first,translate_fr_eng+first_letter
court,s,translate_fr_eng_first,translate_fr_eng+first_letter
haut,u,translate_fr_eng_first,translate_fr_eng+first_letter
bas,d,translate_fr_eng_first,translate_fr_eng+first_letter
large,w,translate_fr_eng_first,translate_fr_eng+first_letter
étroit,n,translate_fr_eng_first,translate_fr_eng+first_letter
lourd,h,translate_fr_eng_first,translate_fr_eng+first_letter
léger,l,translate_fr_eng_first,translate_fr_eng+first_letter
plein,f,translate_fr_eng_first,translate_fr_eng+first_letter
vide,e,translate_fr_eng_first,translate_fr_eng+first_letter
droit,r,translate_fr_eng_first,translate_fr_eng+first_letter
gauche,l,translate_fr_eng_first,translate_fr_eng+first_letter
dedans,i,translate_fr_eng_first,translate_fr_eng+first_letter
dehors,o,translate_fr_eng_first,translate_fr_eng+first_letter
devant,f,translate_fr_eng_first,translate_fr_eng+first_letter
derrière,b,translate_fr_eng_first,translate_fr_eng+first_letter
près,n,translate_fr_eng_first,translate_fr_eng+first_letter
loin,f,translate_fr_eng_first,translate_fr_eng+first_letter
premier,f,translate_fr_eng_first,translate_fr_eng+first_letter
dernier,l,translate_fr_eng_first,translate_fr_eng+first_letter
ouvert,o,translate_fr_eng_first,translate_fr_eng+first_letter
fermé,c,translate_fr_eng_first,translate_fr_eng+first_letter
un,o,translate_fr_eng_first,translate_fr_eng+first_letter
deux,t,translate_fr_eng_first,translate_fr_eng+first_letter
trois,t,translate_fr_eng_first,translate_fr_eng+first_letter
quatre,f,translate_fr_eng_first,translate_fr_eng+first_letter
cinq,f,translate_fr_eng_first,translate_fr_eng+first_letter
six,s,translate_fr_eng_first,translate_fr_eng+first_letter
sept,s,translate_fr_eng_first,translate_fr_eng+first_letter
huit,e,translate_fr_eng_first,translate_fr_eng+first_letter
neuf,n,translate_fr_eng_first,translate_fr_eng+first_letter
dix,t,translate_fr_eng_first,translate_fr_eng+first_letter
cent,h,translate_fr_eng_first,translate_fr_eng+first_letter
mille,t,translate_fr_eng_first,translate_fr_eng+first_letter
frère,b,translate_fr_eng_first,translate_fr_eng+first_letter
sœur,s,translate_fr_eng_first,translate_fr_eng+first_letter
père,f,translate_fr_eng_first,translate_fr_eng+first_letter
mère,m,translate_fr_eng_first,translate_fr_eng+first_letter
fils,s,translate_fr_eng_first,translate_fr_eng+first_letter
fille,g,translate_fr_eng_first,translate_fr_eng+first_letter
mari,h,translate_fr_eng_first,translate_fr_eng+first_letter
femme,w,translate_fr_eng_first,translate_fr_eng+first_letter
grand-père,g,translate_fr_eng_first,translate_fr_eng+first_letter
grand-mère,g,translate_fr_eng_first,translate_fr_eng+first_letter
oncle,u,translate_fr_eng_first,translate_fr_eng+first_letter
tante,a,translate_fr_eng_first,translate_fr_eng+first_letter
cousin,c,translate_fr_eng_first,translate_fr_eng+first_letter
roi,k,translate_fr_eng_first,translate_fr_eng+first_letter
reine,q,translate_fr_eng_first,translate_fr_eng+first_letter
prince,p,translate_fr_eng_first,translate_fr_eng+first_letter
princesse,p,translate_fr_eng_first,translate_fr_eng+first_letter
homme,m,translate_fr_eng_first,translate_fr_eng+first_letter
garçon,b,translate_fr_eng_first,translate_fr_eng+first_letter
bébé,b,translate_fr_eng_first,translate_fr_eng+first_letter
médecin,d,translate_fr_eng_first,translate_fr_eng+first_letter
infirmière,n,translate_fr_eng_first,translate_fr_eng+first_letter
avocat,l,translate_fr_eng_first,translate_fr_eng+first_letter
police,p,translate_fr_eng_first,translate_fr_eng+first_letter
soldat,s,translate_fr_eng_first,translate_fr_eng+first_letter
fermier,f,translate_fr_eng_first,translate_fr_eng+first_letter
ouvrier,w,translate_fr_eng_first,translate_fr_eng+first_letter
artiste,a,translate_fr_eng_first,translate_fr_eng+first_letter
musicien,m,translate_fr_eng_first,translate_fr_eng+first_letter
bonjour,o,translate_fr_eng_last,translate_fr_eng+last_letter
au revoir,e,translate_fr_eng_last,translate_fr_eng+last_letter
merci,u,translate_fr_eng_last,translate_fr_eng+last_letter
s'il vous plaît,e,translate_fr_eng_last,translate_fr_eng+last_letter
oui,s,translate_fr_eng_last,translate_fr_eng+last_letter
non,o,translate_fr_eng_last,translate_fr_eng+last_letter
eau,r,translate_fr_eng_last,translate_fr_eng+last_letter
maison,e,translate_fr_eng_last,translate_fr_eng+last_letter
chat,t,translate_fr_eng_last,translate_fr_eng+last_letter
chien,g,translate_fr_eng_last,translate_fr_eng+last_letter
bonsoir,g,translate_fr_eng_last,translate_fr_eng+last_letter
bonne nuit,t,translate_fr_eng_last,translate_fr_eng+last_letter
comment allez-vous,u,translate_fr_eng_last,translate_fr_eng+last_letter
je t'aime,u,translate_fr_eng_last,translate_fr_eng+last_letter
ami,d,translate_fr_eng_last,translate_fr_eng+last_letter
famille,y,translate_fr_eng_last,translate_fr_eng+last_letter
nourriture,d,translate_fr_eng_last,translate_fr_eng+last_letter
livre,k,translate_fr_eng_last,translate_fr_eng+last_letter
voiture,r,translate_fr_eng_last,translate_fr_eng+last_letter
arbre,e,translate_fr_eng_last,translate_fr_eng+last_letter
fleur,r,translate_fr_eng_last,translate_fr_eng+last_letter
soleil,n,translate_fr_eng_last,translate_fr_eng+last_letter
lune,n,translate_fr_eng_last,translate_fr_eng+last_letter
étoile,r,translate_fr_eng_last,translate_fr_eng+last_letter
pain,d,translate_fr_eng_last,translate_fr_eng+last_letter
fromage,e,translate_fr_eng_last,translate_fr_eng+last_letter
vin,e,translate_fr_eng_last,translate_fr_eng+last_letter
café,e,translate_fr_eng_last,translate_fr_eng+last_letter
thé,a,translate_fr_eng_last,translate_fr_eng+last_letter
lait,k,translate_fr_eng_last,translate_fr_eng+last_letter
sucre,r,translate_fr_eng_last,translate_fr_eng+last_letter
sel,t,translate_fr_eng_last,translate_fr_eng+last_letter
poivre,r,translate_fr_eng_last,translate_fr_eng+last_letter
chaise,r,translate_fr_eng_last,translate_fr_eng+last_letter
porte,r,translate_fr_eng_last,translate_fr_eng+last_letter
fenêtre,w,translate_fr_eng_last,translate_fr_eng+last_letter
rue,t,translate_fr_eng_last,translate_fr_eng+last_letter
ville,y,translate_fr_eng_last,translate_fr_eng+last_letter
pays,y,translate_fr_eng_last,translate_fr_eng+last_letter
monde,d,translate_fr_eng_last,translate_fr_eng+last_letter
temps,e,translate_fr_eng_last,translate_fr_eng+last_letter
jour,y,translate_fr_eng_last,translate_fr_eng+last_letter
nuit,t,translate_fr_eng_last,translate_fr_eng+last_letter
semaine,k,translate_fr_eng_last,translate_fr_eng+last_letter
mois,h,translate_fr_eng_last,translate_fr_eng+last_letter
an,r,translate_fr_eng_last,translate_fr_eng+last_letter
aujourd'hui,y,translate_fr_eng_last,translate_fr_eng+last_letter
demain,w,translate_fr_eng_last,translate_fr_eng+last_letter
